HIRAGANA,KANJI,ENGLISH,KANJI MEANINGS,LESSION SECTION,CATAEGORY
かぜをひく,風邪をひく,to catch a cold,Wind - Wicked - をひく,Genki 1::L12::01 Vocabulary_34,U-verbs
ねつがある,熱がある,to have a fever,Heat - がある,Genki 1::L12::01 Vocabulary_35,U-verbs
のどがかわく,喉が渇く,to become thirsty,喉が - Thirst - く,Genki 1::L12::01 Vocabulary_36,U-verbs
はらう,払う,to pay (〜を),Pay - う,Genki 1::L12::01 Vocabulary_37,U-verbs
なくす,,to lose (〜を),,Genki 1::L12::01 Vocabulary_38,U-verbs
きょうみがある,興味がある,to be interested (in ...) (<i>topic </i>に),Interest - Flavor - がある,Genki 1::L12::01 Vocabulary_39,U-verbs
せきがでる,せきが出る,to cough,せきが - Exit - る,Genki 1::L12::01 Vocabulary_40,Ru-verbs
わかれる,別れる,to break up; to separate (<i>person</i>&nbsp;と),Separate - れる,Genki 1::L12::01 Vocabulary_41,Ru-verbs
きんちょうする,緊張する,to get nervous,Tense - Stretch - する,Genki 1::L12::01 Vocabulary_42,Irregular_Verbs
しんぱいする,心配する,to worry,Heart - Distribute - する,Genki 1::L12::01 Vocabulary_43,Irregular_Verbs
おだいじに,お大事に,Get well soon.,お - Big - Action - に,Genki 1::L12::01 Vocabulary_44,Adverbs_and_Other_Expressions
げんきがない,元気がない,don't look well,Origin - Energy - がない,Genki 1::L12::01 Vocabulary_45,Adverbs_and_Other_Expressions
できるだけ,,as much as possible,,Genki 1::L12::01 Vocabulary_46,Adverbs_and_Other_Expressions
たぶん,多分,probably; maybe,Many - Part,Genki 1::L12::01 Vocabulary_47,Adverbs_and_Other_Expressions
もうすぐ,,very soon; in a few moments/days,,Genki 1::L12::01 Vocabulary_48,Adverbs_and_Other_Expressions
はじめて,初めて,for the first time,First - めて,Genki 1::L12::01 Vocabulary_49,Adverbs_and_Other_Expressions
にさんにち,二三日,for two to three days,Two - Three - Sun,Genki 1::L12::01 Vocabulary_50,Adverbs_and_Other_Expressions
それに,,"moreover, ...",,Genki 1::L12::01 Vocabulary_51,Adverbs_and_Other_Expressions
おなじ,同じ,same,Same - じ,Genki 1::L12::01 Vocabulary_52,Adverbs_and_Other_Expressions
げりです。,,I have diarrhea.,,Genki 1::L12::02 Health And Illness_0,Useful_Expressions
べんぴです。,,I am constipated.,,Genki 1::L12::02 Health And Illness_1,Useful_Expressions
せいりです。,,I have my period.,,Genki 1::L12::02 Health And Illness_2,Useful_Expressions
かふんしょうです。,,I have hay fever.,,Genki 1::L12::02 Health And Illness_3,Useful_Expressions
（〜に）アレルギーがあります。,,I have an allergy to ...,,Genki 1::L12::02 Health And Illness_4,Useful_Expressions
むしばがあります。,,I have a bad tooth.,,Genki 1::L12::02 Health And Illness_5,Useful_Expressions
くしゃみがでます。,,I sneeze.,,Genki 1::L12::02 Health And Illness_6,Useful_Expressions
はなみずがでます。,,I have a runny nose.,,Genki 1::L12::02 Health And Illness_7,Useful_Expressions
せなかがかゆいです。,,My back itches.,,Genki 1::L12::02 Health And Illness_8,Useful_Expressions
はっしんがあります。,,I have rashes.,,Genki 1::L12::02 Health And Illness_9,Useful_Expressions
めまいがします。,,I feel dizzy.,,Genki 1::L12::02 Health And Illness_10,Useful_Expressions
はきました。,,I threw up.,,Genki 1::L12::02 Health And Illness_11,Useful_Expressions
きぶんがわるいです。,,I am not feeling well.,,Genki 1::L12::02 Health And Illness_12,Useful_Expressions
やけどをしました。,,I burned myself.,,Genki 1::L12::02 Health And Illness_13,Useful_Expressions
あしをこっせつしました。,,I broke my leg.,,Genki 1::L12::02 Health And Illness_14,Useful_Expressions
けがをしました。,,I hurt myself.,,Genki 1::L12::02 Health And Illness_15,Useful_Expressions
ないか,,physician,,Genki 1::L12::02 Health And Illness_16,Useful_Expressions
ひふか,,dermatologist,,Genki 1::L12::02 Health And Illness_17,Useful_Expressions
げか,,surgeon,,Genki 1::L12::02 Health And Illness_18,Useful_Expressions
さんふじんか,,obsterician and gynecologist,,Genki 1::L12::02 Health And Illness_19,Useful_Expressions
せいけいげか,,orthopedic surgeon,,Genki 1::L12::02 Health And Illness_20,Useful_Expressions
がんか（めいしゃ）,,ophthalmologist,,Genki 1::L12::02 Health And Illness_21,Useful_Expressions
しか（はいしゃ）,,dentist,,Genki 1::L12::02 Health And Illness_22,Useful_Expressions
じびか,,otorhinolaryngologist; ENT doctor,,Genki 1::L12::02 Health And Illness_23,Useful_Expressions
こうせいぶっしつ,,antibiotic,,Genki 1::L12::02 Health And Illness_24,Useful_Expressions
レントゲン,,X-ray,,Genki 1::L12::02 Health And Illness_25,Useful_Expressions
しゅじゅつ,,operation,,Genki 1::L12::02 Health And Illness_26,Useful_Expressions
ちゅうしゃ,,injection,,Genki 1::L12::02 Health And Illness_27,Useful_Expressions
たいおんけい,,thermometer,,Genki 1::L12::02 Health And Illness_28,Useful_Expressions
てんてき,,intravenous feeding,,Genki 1::L12::02 Health And Illness_29,Useful_Expressions
